id,key,value,type
6339717,county,"Alameda, CA",tiger
6339717,name_base,Castleford,tiger
6339717,name_type,Ct,tiger
6339717,reviewed,no,tiger
6340370,name,Cleveland Cascade,regular
6340370,highway,steps,regular
6340370,website,http://clevelandcascade.org/,regular
6340370,name_base,Cleveland Cascade,tiger
6340930,highway,residential,regular
6340930,name,Myrtle Street,regular
6340930,sidewalk,both,regular
6340930,cfcc,A41,tiger
6340930,county,"Alameda, CA",tiger
6340930,name_base,Myrtle,tiger
6340930,name_type,St,tiger
6341569,highway,residential,regular
6341569,name,Boxstead Common,regular
6341569,cfcc,A41,tiger
6341569,county,"Alameda, CA",tiger
6341569,name_base,Boxstead Cmn,tiger
6341569,reviewed,no,tiger
6342071,highway,residential,regular
6342071,name,Lauriston Court,regular
6342071,cfcc,A41,tiger
6342071,county,"Alameda, CA",tiger
6342071,name_base,Lauriston,tiger
6342071,name_type,Ct,tiger
6342684,highway,residential,regular
6342684,name,Fulton Avenue,regular
6342684,cfcc,A41,tiger
6342684,county,"Alameda, CA",tiger
6342684,name_base,Fulton,tiger
6342684,name_type,Ave,tiger
6342684,reviewed,no,tiger
6343690,highway,unclassified,regular
6343690,name,West Seaplane Lagoon,regular
6343690,name_1,Avenue H,regular
6343690,cfcc,A41,tiger
6343690,county,"Alameda, CA",tiger
6343690,name_base,Seaplane Lagoon,tiger
6343690,name_base_1,Avenue H,tiger
6343690,name_direction_prefix,W,tiger
6343690,reviewed,no,tiger
6344500,highway,residential,regular
6344500,name,Butler Avenue,regular
6344500,cfcc,A41,tiger
6344500,county,"Alameda, CA",tiger
6344500,name_base,Butler,tiger
6344500,name_type,Ave,tiger
6344500,reviewed,no,tiger
6344952,name,Larchmont Isle,regular
6344952,highway,residential,regular
6344952,cfcc,A41,tiger
6344952,tlid,124997876,tiger
6344952,county,"Alameda, CA",tiger
6344952,source,tiger_import_dch_v0.6_20070809,tiger
6344952,reviewed,no,tiger
6344952,name_base,Larchmont Isle,tiger
6344952,separated,no,tiger
6344952,upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,tiger
6345307,highway,residential,regular
6345307,name,Curran Way,regular
6345307,cfcc,A41,tiger
6345307,county,"Alameda, CA",tiger
6345307,name_base,Curran,tiger
6345307,name_type,Way,tiger
6345307,reviewed,no,tiger
6345783,foot,yes,regular
6345783,highway,residential,regular
6345783,name,Lowry Court,regular
6345783,sidewalk,both,regular
6345783,surface,paved,regular
6345783,cfcc,A41,tiger
6345783,county,"Alameda, CA",tiger
6345783,name_base,Lowry,tiger
6345783,name_type,Ct,tiger
6346201,name,Parkside Drive,regular
6346201,highway,residential,regular
6346201,cfcc,A41,tiger
6346201,county,"Alameda, CA",tiger
6346201,reviewed,yes,tiger
6346201,name_base,Parkside,tiger
6346201,name_type,Dr,tiger
6346520,highway,residential,regular
6346520,name,Via Redondo,regular
6346520,cfcc,A41,tiger
6346520,county,"Alameda, CA",tiger
6346520,name_base,Via Redondo,tiger
6346520,reviewed,no,tiger
6346979,highway,residential,regular
6346979,name,Monterey Boulevard,regular
6346979,cfcc,A41,tiger
6346979,county,"Alameda, CA",tiger
6346979,name_base,Monterey,tiger
6346979,name_type,Blvd,tiger
6347317,highway,residential,regular
6347317,name,Brookwood Road,regular
6347317,oneway,yes,regular
6347317,cfcc,A41,tiger
6347317,county,"Alameda, CA",tiger
6347317,name_base,Brookwood,tiger
6347317,name_type,Rd,tiger
6347317,reviewed,no,tiger
6347671,highway,residential,regular
6347671,name,Cochea Street,regular
6347671,name_1,Cochea Drive,regular
6347671,cfcc,A41,tiger
6347671,county,"Alameda, CA",tiger
6347671,name_base,Cochea,tiger
6347671,name_base_1,Cochea,tiger
6347671,name_type,St,tiger
6347671,name_type_1,Dr,tiger
6347671,reviewed,no,tiger
6348011,highway,residential,regular
